id,literal_identifier_id,literal_identifier_type,language_id,literal
393,126,Component,1,Test Binder 1 - En
287,84,Component,1,Binder 4
288,47,Component,1,Safe Work Operating Procedures - Know What To Do
289,48,Component,1,<i>Our</i> Archived Health and Safety Documentation
290,49,Component,1,In <i>Our</i> Workplace
291,50,Component,1,All Contractors and Visitors Responsibilities - In <i>Our</i> Workplace
292,71,Component,1,WPCC 1 <i>Commitment</i>
293,72,Component,1,WPCC 2 <i>Requirements</i>
294,73,Component,1,WPCC 3 <i>Hazards</i>
295,74,Component,1,WPCC 4 <i>Training</i>
296,75,Component,1,WPCC 5 <i>Inspections</i>
297,76,Component,1,WPCC 6 <i>Awareness</i>
298,77,Component,1,WPCC 7 <i>Emergency</i>
299,81,Component,1,Binder 1
300,82,Component,1,Binder 2
301,83,Component,1,Binder 3
302,3,Component,1,Safety is a Partnership - Know Your Role
303,4,Component,1,Health and Safety Policy Statements
304,5,Component,1,Panel 1 - Front
305,6,Component,1,Panel 1 - Back
306,7,Component,1,Panel 2 - Front
307,8,Component,1,Panel 2 - Back
308,9,Component,1,Panel 3 - Front
309,10,Component,1,Panel 3 - Back
310,11,Component,1,Proof of …
311,12,Component,1,It's All About …
312,13,Component,1,Proof of … <i>Our</i> Training and Certification
313,14,Component,1,It's All About … <i>Our</i> Orientation and Training Binder 1
314,15,Component,1,It's All About … <i>Our</i> Orientation and Training Binder 2
315,16,Component,1,The Law
316,17,Component,1,This Is How We Do It!
317,18,Component,1,The Law - Governing Legislations &#183 Regulations &#183 Industry Standards
318,20,Component,1,<i>Our</i> Policies and Procedures Binder 1 - This Is How We Do It!
319,21,Component,1,<i>Our</i> Policies and Procedures Binder 2 - This Is How We Do It!
320,22,Component,1,Committee Meeting Minutes and <i>Our</i> Health and Safety Continuous Improvement Plan
321,23,Component,1,Addressing …
322,24,Component,1,Post related Health and Safety Material Only!
323,25,Component,1,Addressing … Safety Talks and Other Highlights
324,26,Component,1,Addressing … Health and Wellness
325,27,Component,1,Health and Safety Workplace Inspection Reports and Records of Corrective Actions Taken
326,28,Component,1,It Must Be Done!
327,29,Component,1,Preventive Maintenance - It Must Be Done!
328,30,Component,1,Workplace Inspections - It Must be Done!
